id,data_provider,country,product_category,product_category_id,brand,year_of_manufacture,product_age,repair_status,repair_barrier_if_end_of_life,event_date,problem
anstiftung_26666,anstiftung,DEU,Laptop,16,Dell,,,End of life,,2025-07-28,kaputt. hardware.
anstiftung_26664,anstiftung,DEU,Laptop,16,Acer,,,Fixed,,2025-07-28,kubuntu installiert.
anstiftung_26867,anstiftung,DEU,Flat screen,8,Unknown,2010,15,End of life,,2025-07-26,Bild geht weg.
anstiftung_26871,anstiftung,DEU,Flat screen,8,Samsung,,,End of life,,2025-07-26,Kurzschluss?
anstiftung_26785,anstiftung,DEU,Mobile,19,Unknown,,,End of life,Item too worn out,2025-07-26,"Bitte Akku tauschen. - Alter Akku ist im Gerät ausgelaufen und hat starke, korrosive Beschädigungen angerichtet. Nicht reparabel. [UE] {Günter S.}"
anstiftung_26886,anstiftung,DEU,Mobile,19,Samsung,2022,3,Repairable,,2025-07-26,keine Reaktion.
anstiftung_26822,anstiftung,DEU,Flat screen,8,LG Electronics,,,Repairable,,2025-07-25,"kein Bild, nur Ton &gt;&gt; an LED-Port 150V u 100(60)V gemessen + Led-Prüfer sonderbar – wird bei RH daheim bis 50€ untersucht."
anstiftung_26585,anstiftung,DEU,Battery/charger/adapter,2,Casio,2018,7,End of life,No way to open product,2025-07-24,Kabel gebrochen.
anstiftung_26603,anstiftung,DEU,TV and gaming-related accessories,33,Sony,2019,6,End of life,Repair information not available,2025-07-24,"hat Pseudo-Eingabe und spontanes, nicht definiertes Öffnen des Laufwerkes. Chipsatz defekt."
anstiftung_26615,anstiftung,DEU,Laptop,16,Medion,2022,3,Fixed,,2025-07-24,druckt nicht mehr - Fehlermeldung; Treiber neu eingerichtet.
anstiftung_26616,anstiftung,DEU,Laptop,16,Lenovo,2021,4,Fixed,,2025-07-24,"kann nicht mehr zugeklappt werden, am Scharnier etwas herausgebrochen; Scharniere gelockert - wieder funktionstüchtig."
anstiftung_27189,anstiftung,DEU,Laptop,16,HP,2023,2,End of life,Spare parts too expensive,2025-07-24,Besitzer hat versucht Wärmeleitpaste zu wechseln. Die überschüssige WLP war leider großflächig auf dem Mainboard verteilt. Besitzer hat diese versucht mit einem Schraubenzieher zu entfernen. Der Kurzschluss hat die GPU zerstört. Laptop läuft jedoch mit interner GPU. Neue GPU zu teuer.
anstiftung_26552,anstiftung,DEU,Printer/scanner,25,Epson,2022,3,Fixed,,2025-07-23,"Papiereinzug unzuverlässig. - nachdem eine Visitenkarte eingezogen wurde und erst nach einer Weile wieder raus kam, trat das Problem auf - eine Feder im Papiertransportmechanismus hatte sich gelöst - Feder wieder eingehangen und fixiert."
anstiftung_26514,anstiftung,DEU,Laptop,16,Unknown,2019,6,Fixed,,2025-07-22,Update ging schief.
anstiftung_26515,anstiftung,DEU,Laptop,16,Unknown,2020,5,Fixed,,2025-07-22,Fehler im System.
anstiftung_26609,anstiftung,DEU,TV and gaming-related accessories,33,Samsung,2010,15,Repairable,,2025-07-21,"Fortsetzung am 21.7.25 (von FTL): - erneuter Test ergab: Audiowiedergabe nur gestört, häufig Verzerrungen und Lautstärkesprünge - Endverstärker OK - Audiosignals scheint defekt -Teilnutzung als Bluray-Player mit Audio-Wiedergabe am TV möglich, Menüeinstellung erklärt."
anstiftung_26480,anstiftung,DEU,Battery/charger/adapter,2,Brennenstuhl,2021,4,End of life,No way to open product,2025-07-21,Ohne Funktion.
anstiftung_26482,anstiftung,DEU,TV and gaming-related accessories,33,Medion,,,End of life,Repair information not available,2025-07-21,Spielt die DVD nicht mehr ab und öffnet Schacht nicht mehr.
anstiftung_26610,anstiftung,DEU,Laptop,16,Medion,2020,5,Repairable,,2025-07-21,"Akku aufgebläht, Tastatur hochgedrückt. - vom Gast beschaffter Ersatzakku war defekt, wird reklamiert."
anstiftung_26429,anstiftung,DEU,Mobile,19,Unknown,,,Repairable,,2025-07-19,Bedienung erklären.
anstiftung_26397,anstiftung,DEU,Battery/charger/adapter,2,Dewalt,,,Fixed,,2025-07-19,"Akku-Ladegerät -keine Funktion -Sicherung defekt, Durchfluss in Stromlauf."
anstiftung_26406,anstiftung,DEU,TV and gaming-related accessories,33,Panasonic,,,Fixed,,2025-07-19,"Blue-Ray Player -keine Funktion -Netzteil defekt, -gelötet."
anstiftung_26411,anstiftung,DEU,Laptop,16,Unknown,,,Fixed,,2025-07-19,Zu langsam.
anstiftung_26412,anstiftung,DEU,Printer/scanner,25,Unknown,,,Fixed,,2025-07-19,Kein Schwarz.
anstiftung_26431,anstiftung,DEU,Tablet,30,Unknown,,,Fixed,,2025-07-19,Bedienung/Tipps.
anstiftung_26433,anstiftung,DEU,Laptop,16,Unknown,,,Fixed,,2025-07-19,Festplatte kopieren.
anstiftung_26710,anstiftung,DEU,Battery/charger/adapter,2,Unknown,,,Fixed,,2025-07-19,Of.
anstiftung_26711,anstiftung,DEU,Printer/scanner,25,Unknown,,,Fixed,,2025-07-19,Of.
anstiftung_26990,anstiftung,DEU,Printer/scanner,25,Canon,,,End of life,Repair information not available,2025-07-19,kein LCD &gt;&gt; Displayausfall nicht gefunden.
anstiftung_26374,anstiftung,DEU,Laptop,16,Asus,,,Fixed,,2025-07-16,Umstellung von WIN10 auf WIN11.
anstiftung_26517,anstiftung,DEU,Laptop,16,Unknown,,,Repairable,,2025-07-15,Windows 11 fehler.
anstiftung_26518,anstiftung,DEU,Laptop,16,Unknown,,,Repairable,,2025-07-15,Windows 11 fehler.
anstiftung_26455,anstiftung,DEU,Battery/charger/adapter,2,Unknown,2015,10,Fixed,,2025-07-14,Kabel abgerissen. Neu angelötet.
anstiftung_26192,anstiftung,DEU,Mobile,19,Unknown,,,Repairable,,2025-07-13,Lautstärkeknopf defekt.
anstiftung_26191,anstiftung,DEU,Battery/charger/adapter,2,Unknown,,,Fixed,,2025-07-13,Kabelschaden.
anstiftung_26195,anstiftung,DEU,TV and gaming-related accessories,33,Unknown,,,Fixed,,2025-07-13,"IC defekt, mit Kältespray geht es,"
anstiftung_26677,anstiftung,DEU,Battery/charger/adapter,2,YARO-Force,2021,4,End of life,Spare parts not available,2025-07-12,"Ladegerät ohne Funktion, lädt nicht."
anstiftung_26338,anstiftung,DEU,Printer/scanner,25,Unknown,2022,3,End of life,,2025-07-12,"Laptop-Drucker Es wurde unachtsam zuviel Papier eingelegt, danach ein Geräusch und der Drucker hat ausgeschaltet. Zum Reparieren hätte man die gesamte Druckermechanik analysieren und zerlegen müssen. Zeitlicher Aufwand ist zu hoch!"
anstiftung_26540,anstiftung,DEU,Mobile,19,Unknown,,,Unknown,,2025-07-12,"Guthaben wird nicht angenommen. SIM kaputt, kann aber getauscht werden."
anstiftung_26563,anstiftung,DEU,Laptop,16,Apple,,,Unknown,,2025-07-12,Wasserschaden. Datenrettung eventuell mit externer Festplatte möglich weiter trocknen lassen.
anstiftung_26110,anstiftung,DEU,Flat screen,8,Metz,,,End of life,Repair information not available,2025-07-12,"geht nicht mehr, Receiver ziemlich alt ---- vermutlich Hintergrundbeleuchtung defekt, Besucher an Fachhandel verwiesen."
anstiftung_26147,anstiftung,DEU,Mobile,19,Unknown,,,Repairable,,2025-07-12,"Kameralinse ersetzen --- nur Schutzabdeckung gebrochen, Ersatz wird durch Besucher besorgt."
anstiftung_26354,anstiftung,DEU,Battery/charger/adapter,2,Unknown,,,Repairable,,2025-07-12,Akkus werden nicht mehr geladen. Analyse: Beide Akkus sind tief entladen (0.5V). Neue Akkus müssen beschafft werden.
anstiftung_26539,anstiftung,DEU,Laptop,16,HP,,,Repairable,,2025-07-12,Windows 11 Installation.
anstiftung_26107,anstiftung,DEU,Desktop computer,4,Fujitsu,,,Fixed,,2025-07-12,"Umstellung Windows auf Linux ---- Mint installiert, Grundlagen erklärt."
anstiftung_26123,anstiftung,DEU,TV and gaming-related accessories,33,Panasonic,,,Fixed,,2025-07-12,"Klappe funktioniert nicht mehr ---- Kasettendeck Deckel gebogen, Tonkopf gereinigt."
anstiftung_26124,anstiftung,DEU,Mobile,19,Nokia,,,Fixed,,2025-07-12,"Telefonieren geht nicht --- Telefonieren geht, nur die eigene Festnetznummer geht nicht (auch mit anderen Telefon)"
anstiftung_26138,anstiftung,DEU,Battery/charger/adapter,2,Unknown,,,Fixed,,2025-07-12,Verlängerungskabel durchgeschnitten ---- gekürzt und Stecker neu befestigt.
anstiftung_26351,anstiftung,DEU,Mobile,19,Samsung,,,Fixed,,2025-07-12,Tablet. Lädt nicht mehr (zuverlässig). Vermutlich Verschmutzung in Ladebuchse. Reparatur: Ladebuchse gereinigt.
anstiftung_26352,anstiftung,DEU,Laptop,16,Unknown,,,Fixed,,2025-07-12,Kein Empfang. Ladekabel repariert.
anstiftung_26486,anstiftung,DEU,TV and gaming-related accessories,33,Bose,2017,8,Fixed,,2025-07-12,Akku gewechselt.
anstiftung_26557,anstiftung,DEU,Battery/charger/adapter,2,Unknown,2010,15,Fixed,,2025-07-12,Stecker zerbrochen.
anstiftung_26576,anstiftung,DEU,Laptop,16,Unknown,2021,4,Fixed,,2025-07-12,kann nicht in mein Email Postfach.
anstiftung_26579,anstiftung,DEU,PC accessory,22,Unknown,2024,1,Fixed,,2025-07-12,Akku oder Ladetechnik.
anstiftung_26686,anstiftung,DEU,Laptop,16,Sony,,,Fixed,,2025-07-12,doppeltes Bild.
anstiftung_26692,anstiftung,DEU,Printer/scanner,25,HP,,,Fixed,,2025-07-12,Papiereinzug defekt.
anstiftung_26096,anstiftung,DEU,TV and gaming-related accessories,33,Samsung,2013,12,Repairable,,2025-07-10,2 von 3 Audioausgängen funktionieren nicht. - Große Elkos auf Audio-Verstärker-PCB ausgelötet und gemessen -&gt; OK - Zeit zu knapp.
anstiftung_26087,anstiftung,DEU,Laptop,16,HP,2019,6,Repairable,,2025-07-10,Uhrzeit verstellt sich immer. - BIOS-Batterie leer - bedrahtete Batterie.
anstiftung_26089,anstiftung,DEU,Laptop,16,Fujitsu,2015,10,Fixed,,2025-07-10,"Windows 11 installiert, bekommt aber keine Updates. - Notebook wird nicht offiziell von Windows 11 unterstützt - CPU Intel 4. Generation - Windows-Upgrade (24H2) mit ISO-Image und Workaround mit Commandozeilenparameter „/product server“ installiert - Windows-Updates werden nun wieder gefunden und können installiert werden."
anstiftung_27028,anstiftung,DEU,Laptop,16,HP,2019,6,Fixed,,2025-07-10,Fortsetzung am 14.8.25: - neue BIOS-Batterie eingebaut.
anstiftung_26001,anstiftung,DEU,Printer/scanner,25,HP,2019,6,End of life,,2025-07-08,kein Kopieren möglich.
anstiftung_25908,anstiftung,DEU,Laptop,16,Difinity,,,Repairable,,2025-07-08,"Laptop fährt nicht hoch, tiefenentladen, Passwort vergessen."
anstiftung_25992,anstiftung,DEU,Printer/scanner,25,HP,2015,10,Fixed,,2025-07-08,"Kein Druck möglich, trotz neuer Patrone. Patrone defekt."
anstiftung_25998,anstiftung,DEU,TV and gaming-related accessories,33,Sony,2021,4,Fixed,,2025-07-08,Keine Funktion bei Einschaltung. Elektronik defekt. Ersatzteil eingebaut. Gerät io.
anstiftung_25999,anstiftung,DEU,TV and gaming-related accessories,33,Philips,2017,8,Fixed,,2025-07-08,keine Funktion der CD Einheit. Mechanik gereinigt. Gerät IO.
anstiftung_25892,anstiftung,DEU,Laptop,16,Aquado,,,Repairable,,2025-07-07,"1,5 Kg, zeigt nichts mehr an."
anstiftung_25897,anstiftung,DEU,Flat screen,8,Sony,,,Fixed,,2025-07-07,"14,5 Kg kein Bild , zuerst nach längerer Zeit Fehlfarben, dann nach kurzer Zeit kein Bild, jetzt gar kein Bild mehr."
anstiftung_25657,anstiftung,DEU,Laptop,16,HP,,,Fixed,,2025-07-05,Von Windows 10 auf Windows 11 upgegradet.
anstiftung_25789,anstiftung,DEU,Battery/charger/adapter,2,Unknown,,,Fixed,,2025-07-05,Stift abgebrochen.
anstiftung_25790,anstiftung,DEU,Printer/scanner,25,Unknown,,,Fixed,,2025-07-05,Of.
anstiftung_26048,anstiftung,DEU,PC accessory,22,Silvercrest,,,Fixed,,2025-07-05,Wackelkontakt im Batteriefach.
anstiftung_25782,anstiftung,DEU,PC accessory,22,Steinberg,2020,5,Repairable,,2025-07-03,starkes Rauschen bei Mikrofonaufnahme. - kein Zubehör zum Testen dabei - Gerät geöffnet und keinen offensichtlichen Fehler gefunden.
anstiftung_25784,anstiftung,DEU,Battery/charger/adapter,2,Intertek,2015,10,Fixed,,2025-07-03,mit Heckenschere reingeschnitten. - kurzes Stück abgeschnitten - Kupplung neu angeschlossen.
anstiftung_25785,anstiftung,DEU,Battery/charger/adapter,2,Unknown,2020,5,Fixed,,2025-07-03,nach Sturz mit eingestecktem Kabel keine Spannung mehr am USB-Ausgang. - USB-A-Buchse verbogen - Anschlüsse von der Leiterplatte abgerissen - Buchse gerichtet - Anschlüsse wieder angelötet - Lötpad eines Datenpins abgerissen - ging auch so.
anstiftung_25786,anstiftung,DEU,TV and gaming-related accessories,33,Philips,2015,10,Fixed,,2025-07-03,DVD-Lade kommt manchmal nicht raus. - Riemen verschlissen - erneuert.
anstiftung_25603,anstiftung,DEU,Flat screen,8,Philips,,,End of life,Spare parts too expensive,2025-07-01,Hintergrundbeleuchtung springt nicht an.
anstiftung_25604,anstiftung,DEU,Laptop,16,Unknown,2013,12,Fixed,,2025-07-01,ext. Netzteil defekt.
anstiftung_25580,anstiftung,DEU,Battery/charger/adapter,2,Unknown,,,Repairable,,2025-06-30,lädt nicht mehr.
anstiftung_25583,anstiftung,DEU,Battery/charger/adapter,2,Unknown,,,Fixed,,2025-06-30,kabelbruch -&gt; ersatzteil wird besorgt.
anstiftung_25849,anstiftung,DEU,Flat screen,8,Samsung,2015,10,End of life,Spare parts not available,2025-06-30,Keine Funktion. Sicherung auf Platine zerstört. Elektronik defekt.
anstiftung_25725,anstiftung,DEU,Laptop,16,Unknown,,,End of life,Spare parts too expensive,2025-06-28,Startet nicht mehr.
anstiftung_25736,anstiftung,DEU,Laptop,16,Unknown,,,Repairable,,2025-06-28,Daten sollen gelöscht werden.
anstiftung_25731,anstiftung,DEU,TV and gaming-related accessories,33,Panasonic,,,Repairable,,2025-06-28,Geht nicht mehr an.
anstiftung_25594,anstiftung,DEU,Laptop,16,Fujitsu,,,Fixed,,2025-06-28,Taste „0“ funktioniert nicht &gt;&gt; Taste eingerastet und NumLock deaktiviert + Maus mechanisch repariert.
anstiftung_26472,anstiftung,DEU,Mobile,19,AEG,,,End of life,Item too worn out,2025-06-28,"Analog-Telefon mit TAE-Stecker funktioniert nicht mehr. - Gerät ist so abgenutzt, dass Reparatur nicht lohnt. [HE] {Günter S.}"
anstiftung_26498,anstiftung,DEU,TV and gaming-related accessories,33,Denon,,,End of life,,2025-06-28,Gerät geht nicht mehr an.
anstiftung_26509,anstiftung,DEU,TV and gaming-related accessories,33,Yamaha,,,End of life,,2025-06-28,"Aussetzer, hängt sich auf."
anstiftung_26861,anstiftung,DEU,Mobile,19,Unknown,,,Repairable,,2025-06-28,Sim funktioniert nicht.
anstiftung_26464,anstiftung,DEU,Mobile,19,Samsung,,,Fixed,,2025-06-28,Lädt nur bei/unter großer Hitze ?!? - Laut meinen Test- und Prüfadaptern sowie USB-Ladegrät ist sowohl USB-C Ladebuchse als auch das Ladeverhalten am Handy OK. Thermokamera zeigte auch beim Laden des Handys keine Auffälligkeiten. Besitzer soll Ladekabel und Adapter prüfen. [UE] {Günter S.}
anstiftung_25551,anstiftung,DEU,Flat screen,8,Panasonic,2018,7,End of life,Spare parts too expensive,2025-06-26,Bildschirmhintergrundbeleuchtung defekt; Ersatzteil incl. Tausch zu teuer.
anstiftung_25548,anstiftung,DEU,Games console,38,Nintendo,2013,12,Repairable,,2025-06-26,"Bei der Konsole funktionieren die Tasten A,B,X,Y und R nicht mehr. Alle anderen Tasten haben Funktion. Gerät geöffnet und Sichtprüfung durchgeführt. Aus Zeitmangel vertagt."
anstiftung_25520,anstiftung,DEU,Laptop,16,HP,2015,10,Repairable,,2025-06-26,geht nicht an.
anstiftung_25518,anstiftung,DEU,TV and gaming-related accessories,33,Teufel,,,Fixed,,2025-06-26,geht nicht mehr an.
anstiftung_25550,anstiftung,DEU,TV and gaming-related accessories,33,Sony,2020,5,Fixed,,2025-06-26,Defekte Sticks getauscht.
anstiftung_25605,anstiftung,DEU,TV and gaming-related accessories,33,Philips,2015,10,Fixed,,2025-06-26,Schublade öffnet sporadisch nicht; Antriebsriemen vom Ladenmotor getauscht.
anstiftung_26332,anstiftung,DEU,Mobile,19,Apple,,,Repairable,,2025-06-26,"Touch funktioniert nicht mehr. Bei Kleinanzeigen gekauftes Telefon war „schlecht“ repariert. Das Display löste sich (ohne Kleber) vom Rahmen ab und das Touch lies sich dadurch nicht betätigen. Das Flachbandkabel für den Touch war schließlich abgerissen, so das eine neue Displayeinheit bestellt wurde. Die Fortsetzung erfolgt am 17.7.25."
anstiftung_26526,anstiftung,DEU,Mobile,19,Apple,2020,5,Fixed,,2025-06-26,Fortsetzung am 17.7.25: Display mit Touchfunktion getauscht.
anstiftung_25561,anstiftung,DEU,Mobile,19,Gigaset,2021,4,Fixed,,2025-06-25,Handteil wird nicht mehr geladen. - Kontaktstift abgebrochen - aus Metall neuen Stift gebaut und eingelötet.
anstiftung_25562,anstiftung,DEU,Battery/charger/adapter,2,Unknown,2022,3,Fixed,,2025-06-25,12-V-Kabel gerissen. - Kabel geflickt.
